+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               629 |  1 |       NEW |     READY |
|               629 |  1 |     READY |   RUNNING |
|               761 |  1 |   RUNNING |   WAITING |
|               904 |  1 |   WAITING |     READY |
|               904 |  1 |     READY |   RUNNING |
|              1036 |  1 |   RUNNING |   WAITING |
|              1179 |  1 |   WAITING |     READY |
|              1179 |  1 |     READY |   RUNNING |
|              1311 |  1 |   RUNNING |   WAITING |
|              1454 |  1 |   WAITING |     READY |
|              1454 |  1 |     READY |   RUNNING |
|              1586 |  1 |   RUNNING |   WAITING |
|              1693 |  2 |       NEW |     READY |
|              1693 |  2 |     READY |   RUNNING |
|              1729 |  1 |   WAITING |     READY |
|              1729 |  2 |   RUNNING |     READY |
|              1730 |  1 |     READY |   RUNNING |
|              1862 |  1 |   RUNNING |   WAITING |
|              1863 |  2 |     READY |   RUNNING |
|              2005 |  1 |   WAITING |     READY |
|              2005 |  2 |   RUNNING |     READY |
|              2006 |  1 |     READY |   RUNNING |
|              2138 |  1 |   RUNNING |   WAITING |
|              2139 |  2 |     READY |   RUNNING |
|              2171 |  3 |       NEW |     READY |
|              2262 |  2 |   RUNNING |   WAITING |
|              2263 |  3 |     READY |   RUNNING |
|              2281 |  1 |   WAITING |     READY |
|              2281 |  3 |   RUNNING |     READY |
|              2282 |  1 |     READY |   RUNNING |
|              2414 |  1 |   RUNNING |   WAITING |
|              2415 |  3 |     READY |   RUNNING |
|              2453 |  2 |   WAITING |     READY |
|              2453 |  3 |   RUNNING |     READY |
|              2454 |  2 |     READY |   RUNNING |
|              2557 |  1 |   WAITING |     READY |
|              2757 |  2 |   RUNNING |   WAITING |
|              2758 |  1 |     READY |   RUNNING |
|              2890 |  1 |   RUNNING |   WAITING |
|              2891 |  3 |     READY |   RUNNING |
|              2948 |  2 |   WAITING |     READY |
|              2948 |  3 |   RUNNING |     READY |
|              2949 |  2 |     READY |   RUNNING |
|              3033 |  1 |   WAITING |     READY |
|              3252 |  2 |   RUNNING |   WAITING |
|              3253 |  1 |     READY |   RUNNING |
|              3385 |  1 |   RUNNING |   WAITING |
|              3386 |  3 |     READY |   RUNNING |
|              3443 |  2 |   WAITING |     READY |
|              3443 |  3 |   RUNNING |     READY |
|              3444 |  2 |     READY |   RUNNING |
|              3528 |  1 |   WAITING |     READY |
|              3747 |  2 |   RUNNING |   WAITING |
|              3748 |  1 |     READY |   RUNNING |
|              3880 |  1 |   RUNNING |   WAITING |
|              3881 |  3 |     READY |   RUNNING |
|              3938 |  2 |   WAITING |     READY |
|              3938 |  3 |   RUNNING |     READY |
|              3939 |  2 |     READY |   RUNNING |
|              4023 |  1 |   WAITING |     READY |
|              4242 |  2 |   RUNNING |   WAITING |
|              4243 |  1 |     READY |   RUNNING |
|              4375 |  1 |   RUNNING |   WAITING |
|              4376 |  3 |     READY |   RUNNING |
|              4433 |  2 |   WAITING |     READY |
|              4433 |  3 |   RUNNING |     READY |
|              4434 |  2 |     READY |   RUNNING |
|              4518 |  1 |   WAITING |     READY |
|              4737 |  2 |   RUNNING |   WAITING |
|              4738 |  1 |     READY |   RUNNING |
|              4870 |  1 |   RUNNING |   WAITING |
|              4871 |  3 |     READY |   RUNNING |
|              4928 |  2 |   WAITING |     READY |
|              4928 |  3 |   RUNNING |     READY |
|              4929 |  2 |     READY |   RUNNING |
|              5013 |  1 |   WAITING |     READY |
|              5232 |  2 |   RUNNING |   WAITING |
|              5233 |  1 |     READY |   RUNNING |
|              5365 |  1 |   RUNNING |   WAITING |
|              5366 |  3 |     READY |   RUNNING |
|              5423 |  2 |   WAITING |     READY |
|              5423 |  3 |   RUNNING |     READY |
|              5424 |  2 |     READY |   RUNNING |
|              5508 |  1 |   WAITING |     READY |
|              5727 |  2 |   RUNNING |   WAITING |
|              5728 |  1 |     READY |   RUNNING |
|              5860 |  1 |   RUNNING |   WAITING |
|              5861 |  3 |     READY |   RUNNING |
|              5918 |  2 |   WAITING |     READY |
|              5918 |  3 |   RUNNING |     READY |
|              5919 |  2 |     READY |   RUNNING |
|              6003 |  1 |   WAITING |     READY |
|              6037 |  2 |   RUNNING |TERMINATED |
|              6038 |  1 |     READY |   RUNNING |
|              6170 |  1 |   RUNNING |   WAITING |
|              6171 |  3 |     READY |   RUNNING |
|              6284 |  3 |   RUNNING |   WAITING |
|              6313 |  1 |   WAITING |     READY |
|              6313 |  1 |     READY |   RUNNING |
|              6358 |  3 |   WAITING |     READY |
|              6445 |  1 |   RUNNING |   WAITING |
|              6446 |  3 |     READY |   RUNNING |
|              6588 |  1 |   WAITING |     READY |
|              6588 |  3 |   RUNNING |     READY |
|              6589 |  1 |     READY |   RUNNING |
|              6721 |  1 |   RUNNING |   WAITING |
|              6722 |  3 |     READY |   RUNNING |
|              6864 |  1 |   WAITING |     READY |
|              6864 |  3 |   RUNNING |     READY |
|              6865 |  1 |     READY |   RUNNING |
|              6997 |  1 |   RUNNING |   WAITING |
|              6998 |  3 |     READY |   RUNNING |
|              7140 |  1 |   WAITING |     READY |
|              7140 |  3 |   RUNNING |     READY |
|              7141 |  1 |     READY |   RUNNING |
|              7273 |  1 |   RUNNING |   WAITING |
|              7274 |  3 |     READY |   RUNNING |
|              7416 |  1 |   WAITING |     READY |
|              7416 |  3 |   RUNNING |     READY |
|              7417 |  1 |     READY |   RUNNING |
|              7549 |  1 |   RUNNING |   WAITING |
|              7550 |  3 |     READY |   RUNNING |
|              7555 |  3 |   RUNNING |   WAITING |
|              7629 |  3 |   WAITING |     READY |
|              7629 |  3 |     READY |   RUNNING |
|              7692 |  1 |   WAITING |     READY |
|              7692 |  3 |   RUNNING |     READY |
|              7693 |  1 |     READY |   RUNNING |
|              7825 |  1 |   RUNNING |   WAITING |
|              7826 |  3 |     READY |   RUNNING |
|              7968 |  1 |   WAITING |     READY |
|              7968 |  3 |   RUNNING |     READY |
|              7969 |  1 |     READY |   RUNNING |
|              8101 |  1 |   RUNNING |   WAITING |
|              8102 |  3 |     READY |   RUNNING |
|              8244 |  1 |   WAITING |     READY |
|              8244 |  3 |   RUNNING |     READY |
|              8245 |  1 |     READY |   RUNNING |
|              8377 |  1 |   RUNNING |   WAITING |
|              8378 |  3 |     READY |   RUNNING |
|              8520 |  1 |   WAITING |     READY |
|              8520 |  3 |   RUNNING |     READY |
|              8521 |  1 |     READY |   RUNNING |
|              8653 |  1 |   RUNNING |   WAITING |
|              8654 |  3 |     READY |   RUNNING |
|              8738 |  3 |   RUNNING |   WAITING |
|              8796 |  1 |   WAITING |     READY |
|              8796 |  1 |     READY |   RUNNING |
|              8812 |  3 |   WAITING |     READY |
|              8928 |  1 |   RUNNING |   WAITING |
|              8929 |  3 |     READY |   RUNNING |
|              9071 |  1 |   WAITING |     READY |
|              9071 |  3 |   RUNNING |     READY |
|              9072 |  1 |     READY |   RUNNING |
|              9204 |  1 |   RUNNING |   WAITING |
|              9205 |  3 |     READY |   RUNNING |
|              9347 |  1 |   WAITING |     READY |
|              9347 |  3 |   RUNNING |     READY |
|              9348 |  1 |     READY |   RUNNING |
|              9480 |  1 |   RUNNING |   WAITING |
|              9481 |  3 |     READY |   RUNNING |
|              9623 |  1 |   WAITING |     READY |
|              9623 |  3 |   RUNNING |     READY |
|              9624 |  1 |     READY |   RUNNING |
|              9756 |  1 |   RUNNING |   WAITING |
|              9757 |  3 |     READY |   RUNNING |
|              9899 |  1 |   WAITING |     READY |
|              9899 |  3 |   RUNNING |     READY |
|              9900 |  1 |     READY |   RUNNING |
|             10032 |  1 |   RUNNING |   WAITING |
|             10033 |  3 |     READY |   RUNNING |
|             10038 |  3 |   RUNNING |   WAITING |
|             10112 |  3 |   WAITING |     READY |
|             10112 |  3 |     READY |   RUNNING |
|             10175 |  1 |   WAITING |     READY |
|             10175 |  3 |   RUNNING |TERMINATED |
|             10176 |  1 |     READY |   RUNNING |
|             10308 |  1 |   RUNNING |   WAITING |
|             10451 |  1 |   WAITING |     READY |
|             10451 |  1 |     READY |   RUNNING |
|             10583 |  1 |   RUNNING |   WAITING |
|             10726 |  1 |   WAITING |     READY |
|             10726 |  1 |     READY |   RUNNING |
|             10858 |  1 |   RUNNING |   WAITING |
|             11001 |  1 |   WAITING |     READY |
|             11001 |  1 |     READY |   RUNNING |
|             11133 |  1 |   RUNNING |   WAITING |
|             11276 |  1 |   WAITING |     READY |
|             11276 |  1 |     READY |   RUNNING |
|             11408 |  1 |   RUNNING |   WAITING |
|             11551 |  1 |   WAITING |     READY |
|             11551 |  1 |     READY |   RUNNING |
|             11683 |  1 |   RUNNING |   WAITING |
|             11826 |  1 |   WAITING |     READY |
|             11826 |  1 |     READY |   RUNNING |
|             11958 |  1 |   RUNNING |   WAITING |
|             12101 |  1 |   WAITING |     READY |
|             12101 |  1 |     READY |   RUNNING |
|             12233 |  1 |   RUNNING |   WAITING |
|             12376 |  1 |   WAITING |     READY |
|             12376 |  1 |     READY |   RUNNING |
|             12508 |  1 |   RUNNING |   WAITING |
|             12651 |  1 |   WAITING |     READY |
|             12651 |  1 |     READY |   RUNNING |
|             12783 |  1 |   RUNNING |   WAITING |
|             12926 |  1 |   WAITING |     READY |
|             12926 |  1 |     READY |   RUNNING |
|             13058 |  1 |   RUNNING |   WAITING |
|             13201 |  1 |   WAITING |     READY |
|             13201 |  1 |     READY |   RUNNING |
|             13333 |  1 |   RUNNING |   WAITING |
|             13476 |  1 |   WAITING |     READY |
|             13476 |  1 |     READY |   RUNNING |
|             13608 |  1 |   RUNNING |   WAITING |
|             13751 |  1 |   WAITING |     READY |
|             13751 |  1 |     READY |   RUNNING |
|             13814 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
