+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               629 |  1 |       NEW |     READY |
|               629 |  1 |     READY |   RUNNING |
|               728 |  1 |   RUNNING |     READY |
|               729 |  1 |     READY |   RUNNING |
|               761 |  1 |   RUNNING |   WAITING |
|               904 |  1 |   WAITING |     READY |
|               904 |  1 |     READY |   RUNNING |
|              1003 |  1 |   RUNNING |     READY |
|              1004 |  1 |     READY |   RUNNING |
|              1036 |  1 |   RUNNING |   WAITING |
|              1179 |  1 |   WAITING |     READY |
|              1179 |  1 |     READY |   RUNNING |
|              1278 |  1 |   RUNNING |     READY |
|              1279 |  1 |     READY |   RUNNING |
|              1311 |  1 |   RUNNING |   WAITING |
|              1454 |  1 |   WAITING |     READY |
|              1454 |  1 |     READY |   RUNNING |
|              1553 |  1 |   RUNNING |     READY |
|              1554 |  1 |     READY |   RUNNING |
|              1586 |  1 |   RUNNING |   WAITING |
|              1693 |  2 |       NEW |     READY |
|              1693 |  2 |     READY |   RUNNING |
|              1729 |  1 |   WAITING |     READY |
|              1792 |  2 |   RUNNING |     READY |
|              1793 |  1 |     READY |   RUNNING |
|              1892 |  1 |   RUNNING |     READY |
|              1893 |  2 |     READY |   RUNNING |
|              1992 |  2 |   RUNNING |     READY |
|              1993 |  1 |     READY |   RUNNING |
|              2025 |  1 |   RUNNING |   WAITING |
|              2026 |  2 |     READY |   RUNNING |
|              2125 |  2 |   RUNNING |     READY |
|              2126 |  2 |     READY |   RUNNING |
|              2129 |  2 |   RUNNING |   WAITING |
|              2168 |  1 |   WAITING |     READY |
|              2168 |  1 |     READY |   RUNNING |
|              2171 |  3 |       NEW |     READY |
|              2267 |  1 |   RUNNING |     READY |
|              2268 |  3 |     READY |   RUNNING |
|              2320 |  2 |   WAITING |     READY |
|              2367 |  3 |   RUNNING |     READY |
|              2368 |  1 |     READY |   RUNNING |
|              2400 |  1 |   RUNNING |   WAITING |
|              2401 |  2 |     READY |   RUNNING |
|              2500 |  2 |   RUNNING |     READY |
|              2501 |  3 |     READY |   RUNNING |
|              2543 |  1 |   WAITING |     READY |
|              2600 |  3 |   RUNNING |     READY |
|              2601 |  2 |     READY |   RUNNING |
|              2700 |  2 |   RUNNING |     READY |
|              2701 |  1 |     READY |   RUNNING |
|              2800 |  1 |   RUNNING |     READY |
|              2801 |  3 |     READY |   RUNNING |
|              2900 |  3 |   RUNNING |     READY |
|              2901 |  2 |     READY |   RUNNING |
|              3000 |  2 |   RUNNING |     READY |
|              3001 |  1 |     READY |   RUNNING |
|              3033 |  1 |   RUNNING |   WAITING |
|              3034 |  3 |     READY |   RUNNING |
|              3133 |  3 |   RUNNING |     READY |
|              3134 |  2 |     READY |   RUNNING |
|              3137 |  2 |   RUNNING |   WAITING |
|              3138 |  3 |     READY |   RUNNING |
|              3176 |  1 |   WAITING |     READY |
|              3237 |  3 |   RUNNING |     READY |
|              3238 |  1 |     READY |   RUNNING |
|              3328 |  2 |   WAITING |     READY |
|              3337 |  1 |   RUNNING |     READY |
|              3338 |  3 |     READY |   RUNNING |
|              3415 |  3 |   RUNNING |   WAITING |
|              3416 |  2 |     READY |   RUNNING |
|              3489 |  3 |   WAITING |     READY |
|              3515 |  2 |   RUNNING |     READY |
|              3516 |  1 |     READY |   RUNNING |
|              3548 |  1 |   RUNNING |   WAITING |
|              3549 |  3 |     READY |   RUNNING |
|              3648 |  3 |   RUNNING |     READY |
|              3649 |  2 |     READY |   RUNNING |
|              3691 |  1 |   WAITING |     READY |
|              3748 |  2 |   RUNNING |     READY |
|              3749 |  3 |     READY |   RUNNING |
|              3848 |  3 |   RUNNING |     READY |
|              3849 |  1 |     READY |   RUNNING |
|              3948 |  1 |   RUNNING |     READY |
|              3949 |  2 |     READY |   RUNNING |
|              4048 |  2 |   RUNNING |     READY |
|              4049 |  3 |     READY |   RUNNING |
|              4148 |  3 |   RUNNING |     READY |
|              4149 |  1 |     READY |   RUNNING |
|              4181 |  1 |   RUNNING |   WAITING |
|              4182 |  2 |     READY |   RUNNING |
|              4185 |  2 |   RUNNING |   WAITING |
|              4186 |  3 |     READY |   RUNNING |
|              4285 |  3 |   RUNNING |     READY |
|              4286 |  3 |     READY |   RUNNING |
|              4324 |  1 |   WAITING |     READY |
|              4376 |  2 |   WAITING |     READY |
|              4385 |  3 |   RUNNING |     READY |
|              4386 |  1 |     READY |   RUNNING |
|              4485 |  1 |   RUNNING |     READY |
|              4486 |  2 |     READY |   RUNNING |
|              4585 |  2 |   RUNNING |     READY |
|              4586 |  3 |     READY |   RUNNING |
|              4663 |  3 |   RUNNING |   WAITING |
|              4664 |  1 |     READY |   RUNNING |
|              4696 |  1 |   RUNNING |   WAITING |
|              4697 |  2 |     READY |   RUNNING |
|              4737 |  3 |   WAITING |     READY |
|              4796 |  2 |   RUNNING |     READY |
|              4797 |  3 |     READY |   RUNNING |
|              4839 |  1 |   WAITING |     READY |
|              4896 |  3 |   RUNNING |     READY |
|              4897 |  2 |     READY |   RUNNING |
|              4996 |  2 |   RUNNING |     READY |
|              4997 |  1 |     READY |   RUNNING |
|              5096 |  1 |   RUNNING |     READY |
|              5097 |  3 |     READY |   RUNNING |
|              5196 |  3 |   RUNNING |     READY |
|              5197 |  2 |     READY |   RUNNING |
|              5200 |  2 |   RUNNING |   WAITING |
|              5201 |  1 |     READY |   RUNNING |
|              5233 |  1 |   RUNNING |   WAITING |
|              5234 |  3 |     READY |   RUNNING |
|              5333 |  3 |   RUNNING |     READY |
|              5334 |  3 |     READY |   RUNNING |
|              5376 |  1 |   WAITING |     READY |
|              5391 |  2 |   WAITING |     READY |
|              5433 |  3 |   RUNNING |     READY |
|              5434 |  1 |     READY |   RUNNING |
|              5533 |  1 |   RUNNING |     READY |
|              5534 |  2 |     READY |   RUNNING |
|              5633 |  2 |   RUNNING |     READY |
|              5634 |  3 |     READY |   RUNNING |
|              5733 |  3 |   RUNNING |     READY |
|              5734 |  1 |     READY |   RUNNING |
|              5766 |  1 |   RUNNING |   WAITING |
|              5767 |  2 |     READY |   RUNNING |
|              5866 |  2 |   RUNNING |     READY |
|              5867 |  3 |     READY |   RUNNING |
|              5909 |  1 |   WAITING |     READY |
|              5944 |  3 |   RUNNING |   WAITING |
|              5945 |  2 |     READY |   RUNNING |
|              6018 |  3 |   WAITING |     READY |
|              6044 |  2 |   RUNNING |     READY |
|              6045 |  1 |     READY |   RUNNING |
|              6144 |  1 |   RUNNING |     READY |
|              6145 |  3 |     READY |   RUNNING |
|              6244 |  3 |   RUNNING |     READY |
|              6245 |  2 |     READY |   RUNNING |
|              6248 |  2 |   RUNNING |   WAITING |
|              6249 |  1 |     READY |   RUNNING |
|              6281 |  1 |   RUNNING |   WAITING |
|              6282 |  3 |     READY |   RUNNING |
|              6381 |  3 |   RUNNING |     READY |
|              6382 |  3 |     READY |   RUNNING |
|              6424 |  1 |   WAITING |     READY |
|              6439 |  2 |   WAITING |     READY |
|              6481 |  3 |   RUNNING |     READY |
|              6482 |  1 |     READY |   RUNNING |
|              6581 |  1 |   RUNNING |     READY |
|              6582 |  2 |     READY |   RUNNING |
|              6681 |  2 |   RUNNING |     READY |
|              6682 |  3 |     READY |   RUNNING |
|              6781 |  3 |   RUNNING |     READY |
|              6782 |  1 |     READY |   RUNNING |
|              6814 |  1 |   RUNNING |   WAITING |
|              6815 |  2 |     READY |   RUNNING |
|              6914 |  2 |   RUNNING |     READY |
|              6915 |  3 |     READY |   RUNNING |
|              6957 |  1 |   WAITING |     READY |
|              7014 |  3 |   RUNNING |     READY |
|              7015 |  2 |     READY |   RUNNING |
|              7114 |  2 |   RUNNING |     READY |
|              7115 |  1 |     READY |   RUNNING |
|              7214 |  1 |   RUNNING |     READY |
|              7215 |  3 |     READY |   RUNNING |
|              7292 |  3 |   RUNNING |   WAITING |
|              7293 |  2 |     READY |   RUNNING |
|              7296 |  2 |   RUNNING |   WAITING |
|              7297 |  1 |     READY |   RUNNING |
|              7329 |  1 |   RUNNING |   WAITING |
|              7366 |  3 |   WAITING |     READY |
|              7366 |  3 |     READY |   RUNNING |
|              7429 |  3 |   RUNNING |TERMINATED |
|              7472 |  1 |   WAITING |     READY |
|              7472 |  1 |     READY |   RUNNING |
|              7487 |  2 |   WAITING |     READY |
|              7571 |  1 |   RUNNING |     READY |
|              7572 |  2 |     READY |   RUNNING |
|              7671 |  2 |   RUNNING |     READY |
|              7672 |  1 |     READY |   RUNNING |
|              7704 |  1 |   RUNNING |   WAITING |
|              7705 |  2 |     READY |   RUNNING |
|              7804 |  2 |   RUNNING |     READY |
|              7805 |  2 |     READY |   RUNNING |
|              7847 |  1 |   WAITING |     READY |
|              7904 |  2 |   RUNNING |     READY |
|              7905 |  1 |     READY |   RUNNING |
|              8004 |  1 |   RUNNING |     READY |
|              8005 |  2 |     READY |   RUNNING |
|              8008 |  2 |   RUNNING |   WAITING |
|              8009 |  1 |     READY |   RUNNING |
|              8041 |  1 |   RUNNING |   WAITING |
|              8184 |  1 |   WAITING |     READY |
|              8184 |  1 |     READY |   RUNNING |
|              8199 |  2 |   WAITING |     READY |
|              8283 |  1 |   RUNNING |     READY |
|              8284 |  2 |     READY |   RUNNING |
|              8383 |  2 |   RUNNING |     READY |
|              8384 |  1 |     READY |   RUNNING |
|              8416 |  1 |   RUNNING |   WAITING |
|              8417 |  2 |     READY |   RUNNING |
|              8516 |  2 |   RUNNING |     READY |
|              8517 |  2 |     READY |   RUNNING |
|              8559 |  1 |   WAITING |     READY |
|              8616 |  2 |   RUNNING |     READY |
|              8617 |  1 |     READY |   RUNNING |
|              8716 |  1 |   RUNNING |     READY |
|              8717 |  2 |     READY |   RUNNING |
|              8720 |  2 |   RUNNING |   WAITING |
|              8721 |  1 |     READY |   RUNNING |
|              8753 |  1 |   RUNNING |   WAITING |
|              8896 |  1 |   WAITING |     READY |
|              8896 |  1 |     READY |   RUNNING |
|              8911 |  2 |   WAITING |     READY |
|              8995 |  1 |   RUNNING |     READY |
|              8996 |  2 |     READY |   RUNNING |
|              9095 |  2 |   RUNNING |     READY |
|              9096 |  1 |     READY |   RUNNING |
|              9128 |  1 |   RUNNING |   WAITING |
|              9129 |  2 |     READY |   RUNNING |
|              9147 |  2 |   RUNNING |TERMINATED |
|              9271 |  1 |   WAITING |     READY |
|              9271 |  1 |     READY |   RUNNING |
|              9370 |  1 |   RUNNING |     READY |
|              9371 |  1 |     READY |   RUNNING |
|              9403 |  1 |   RUNNING |   WAITING |
|              9546 |  1 |   WAITING |     READY |
|              9546 |  1 |     READY |   RUNNING |
|              9645 |  1 |   RUNNING |     READY |
|              9646 |  1 |     READY |   RUNNING |
|              9678 |  1 |   RUNNING |   WAITING |
|              9821 |  1 |   WAITING |     READY |
|              9821 |  1 |     READY |   RUNNING |
|              9920 |  1 |   RUNNING |     READY |
|              9921 |  1 |     READY |   RUNNING |
|              9953 |  1 |   RUNNING |   WAITING |
|             10096 |  1 |   WAITING |     READY |
|             10096 |  1 |     READY |   RUNNING |
|             10195 |  1 |   RUNNING |     READY |
|             10196 |  1 |     READY |   RUNNING |
|             10228 |  1 |   RUNNING |   WAITING |
|             10371 |  1 |   WAITING |     READY |
|             10371 |  1 |     READY |   RUNNING |
|             10470 |  1 |   RUNNING |     READY |
|             10471 |  1 |     READY |   RUNNING |
|             10503 |  1 |   RUNNING |   WAITING |
|             10646 |  1 |   WAITING |     READY |
|             10646 |  1 |     READY |   RUNNING |
|             10745 |  1 |   RUNNING |     READY |
|             10746 |  1 |     READY |   RUNNING |
|             10778 |  1 |   RUNNING |   WAITING |
|             10921 |  1 |   WAITING |     READY |
|             10921 |  1 |     READY |   RUNNING |
|             11020 |  1 |   RUNNING |     READY |
|             11021 |  1 |     READY |   RUNNING |
|             11053 |  1 |   RUNNING |   WAITING |
|             11196 |  1 |   WAITING |     READY |
|             11196 |  1 |     READY |   RUNNING |
|             11295 |  1 |   RUNNING |     READY |
|             11296 |  1 |     READY |   RUNNING |
|             11328 |  1 |   RUNNING |   WAITING |
|             11471 |  1 |   WAITING |     READY |
|             11471 |  1 |     READY |   RUNNING |
|             11570 |  1 |   RUNNING |     READY |
|             11571 |  1 |     READY |   RUNNING |
|             11603 |  1 |   RUNNING |   WAITING |
|             11746 |  1 |   WAITING |     READY |
|             11746 |  1 |     READY |   RUNNING |
|             11845 |  1 |   RUNNING |     READY |
|             11846 |  1 |     READY |   RUNNING |
|             11878 |  1 |   RUNNING |   WAITING |
|             12021 |  1 |   WAITING |     READY |
|             12021 |  1 |     READY |   RUNNING |
|             12120 |  1 |   RUNNING |     READY |
|             12121 |  1 |     READY |   RUNNING |
|             12153 |  1 |   RUNNING |   WAITING |
