+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|              1061 |  1 |       NEW |     READY |
|              1061 |  1 |     READY |   RUNNING |
|              1295 |  2 |       NEW |     READY |
|              2101 |  3 |       NEW |     READY |
|              2232 |  4 |       NEW |     READY |
|              2473 |  1 |   RUNNING |   WAITING |
|              2474 |  2 |     READY |   RUNNING |
|              2601 |  1 |   WAITING |     READY |
|              3044 |  2 |   RUNNING |   WAITING |
|              3045 |  1 |     READY |   RUNNING |
|              3159 |  6 |       NEW |     READY |
|              3168 |  2 |   WAITING |     READY |
|              3549 |  7 |       NEW |     READY |
|              4457 |  1 |   RUNNING |   WAITING |
|              4458 |  2 |     READY |   RUNNING |
|              4585 |  1 |   WAITING |     READY |
|              5028 |  2 |   RUNNING |   WAITING |
|              5029 |  1 |     READY |   RUNNING |
|              5152 |  2 |   WAITING |     READY |
|              6441 |  1 |   RUNNING |   WAITING |
|              6442 |  2 |     READY |   RUNNING |
|              6569 |  1 |   WAITING |     READY |
|              7012 |  2 |   RUNNING |   WAITING |
|              7013 |  1 |     READY |   RUNNING |
|              7136 |  2 |   WAITING |     READY |
|              8425 |  1 |   RUNNING |   WAITING |
|              8426 |  2 |     READY |   RUNNING |
|              8553 |  1 |   WAITING |     READY |
|              8996 |  2 |   RUNNING |   WAITING |
|              8997 |  1 |     READY |   RUNNING |
|              9120 |  2 |   WAITING |     READY |
|             10409 |  1 |   RUNNING |   WAITING |
|             10410 |  2 |     READY |   RUNNING |
|             10537 |  1 |   WAITING |     READY |
|             10980 |  2 |   RUNNING |   WAITING |
|             10981 |  1 |     READY |   RUNNING |
|             11104 |  2 |   WAITING |     READY |
|             11543 |  1 |   RUNNING |TERMINATED |
|             11544 |  8 |       NEW |     READY |
|             11544 |  2 |     READY |   RUNNING |
|             12114 |  2 |   RUNNING |   WAITING |
|             12115 |  3 |     READY |   RUNNING |
|             12238 |  2 |   WAITING |     READY |
|             13647 |  3 |   RUNNING |   WAITING |
|             13648 |  2 |     READY |   RUNNING |
|             13842 |  3 |   WAITING |     READY |
|             14218 |  2 |   RUNNING |   WAITING |
|             14219 |  3 |     READY |   RUNNING |
|             14342 |  2 |   WAITING |     READY |
|             15751 |  3 |   RUNNING |   WAITING |
|             15752 |  2 |     READY |   RUNNING |
|             15946 |  3 |   WAITING |     READY |
|             16322 |  2 |   RUNNING |   WAITING |
|             16323 |  3 |     READY |   RUNNING |
|             16446 |  2 |   WAITING |     READY |
|             17855 |  3 |   RUNNING |   WAITING |
|             17856 |  2 |     READY |   RUNNING |
|             18050 |  3 |   WAITING |     READY |
|             18426 |  2 |   RUNNING |   WAITING |
|             18427 |  3 |     READY |   RUNNING |
|             18550 |  2 |   WAITING |     READY |
|             19959 |  3 |   RUNNING |   WAITING |
|             19960 |  2 |     READY |   RUNNING |
|             20154 |  3 |   WAITING |     READY |
|             20530 |  2 |   RUNNING |   WAITING |
|             20531 |  3 |     READY |   RUNNING |
|             20654 |  2 |   WAITING |     READY |
|             22063 |  3 |   RUNNING |   WAITING |
|             22064 |  2 |     READY |   RUNNING |
|             22258 |  3 |   WAITING |     READY |
|             22634 |  2 |   RUNNING |   WAITING |
|             22635 |  3 |     READY |   RUNNING |
|             22758 |  2 |   WAITING |     READY |
|             23282 |  3 |   RUNNING |TERMINATED |
|             23283 |  2 |     READY |   RUNNING |
|             23853 |  2 |   RUNNING |   WAITING |
|             23854 |  4 |     READY |   RUNNING |
|             23977 |  2 |   WAITING |     READY |
|             25753 |  4 |   RUNNING |   WAITING |
