+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|               924 |  1 |       NEW |     READY |
|               924 |  1 |     READY |   RUNNING |
|              1023 |  1 |   RUNNING |     READY |
|              1024 |  1 |     READY |   RUNNING |
|              1123 |  1 |   RUNNING |     READY |
|              1124 |  1 |     READY |   RUNNING |
|              1223 |  1 |   RUNNING |     READY |
|              1224 |  1 |     READY |   RUNNING |
|              1323 |  1 |   RUNNING |     READY |
|              1324 |  1 |     READY |   RUNNING |
|              1423 |  1 |   RUNNING |     READY |
|              1424 |  1 |     READY |   RUNNING |
|              1523 |  1 |   RUNNING |     READY |
|              1524 |  1 |     READY |   RUNNING |
|              1623 |  1 |   RUNNING |     READY |
|              1624 |  1 |     READY |   RUNNING |
|              1723 |  1 |   RUNNING |     READY |
|              1724 |  1 |     READY |   RUNNING |
|              1776 |  2 |       NEW |     READY |
|              1823 |  1 |   RUNNING |     READY |
|              1824 |  2 |     READY |   RUNNING |
|              1867 |  3 |       NEW |     READY |
|              1923 |  2 |   RUNNING |     READY |
|              1924 |  1 |     READY |   RUNNING |
|              2023 |  1 |   RUNNING |     READY |
|              2024 |  3 |     READY |   RUNNING |
|              2123 |  3 |   RUNNING |     READY |
|              2124 |  2 |     READY |   RUNNING |
|              2223 |  2 |   RUNNING |     READY |
|              2224 |  1 |     READY |   RUNNING |
|              2323 |  1 |   RUNNING |     READY |
|              2324 |  3 |     READY |   RUNNING |
|              2423 |  3 |   RUNNING |     READY |
|              2424 |  2 |     READY |   RUNNING |
|              2523 |  2 |   RUNNING |     READY |
|              2524 |  1 |     READY |   RUNNING |
|              2623 |  1 |   RUNNING |     READY |
|              2624 |  3 |     READY |   RUNNING |
|              2723 |  3 |   RUNNING |     READY |
|              2724 |  2 |     READY |   RUNNING |
|              2823 |  2 |   RUNNING |     READY |
|              2824 |  1 |     READY |   RUNNING |
|              2835 |  5 |       NEW |     READY |
|              2923 |  1 |   RUNNING |     READY |
|              2924 |  3 |     READY |   RUNNING |
|              3023 |  3 |   RUNNING |     READY |
|              3024 |  2 |     READY |   RUNNING |
|              3123 |  2 |   RUNNING |     READY |
|              3124 |  5 |     READY |   RUNNING |
|              3223 |  5 |   RUNNING |     READY |
|              3224 |  1 |     READY |   RUNNING |
|              3323 |  1 |   RUNNING |     READY |
|              3324 |  3 |     READY |   RUNNING |
|              3423 |  3 |   RUNNING |     READY |
|              3424 |  2 |     READY |   RUNNING |
|              3523 |  2 |   RUNNING |     READY |
|              3524 |  5 |     READY |   RUNNING |
|              3623 |  5 |   RUNNING |     READY |
|              3624 |  1 |     READY |   RUNNING |
|              3723 |  1 |   RUNNING |     READY |
|              3724 |  3 |     READY |   RUNNING |
|              3823 |  3 |   RUNNING |     READY |
|              3824 |  2 |     READY |   RUNNING |
|              3923 |  2 |   RUNNING |     READY |
|              3924 |  5 |     READY |   RUNNING |
|              4023 |  5 |   RUNNING |     READY |
|              4024 |  1 |     READY |   RUNNING |
|              4123 |  1 |   RUNNING |     READY |
|              4124 |  3 |     READY |   RUNNING |
|              4223 |  3 |   RUNNING |     READY |
|              4224 |  2 |     READY |   RUNNING |
|              4323 |  2 |   RUNNING |     READY |
|              4324 |  5 |     READY |   RUNNING |
|              4423 |  5 |   RUNNING |     READY |
|              4424 |  1 |     READY |   RUNNING |
|              4523 |  1 |   RUNNING |     READY |
|              4524 |  3 |     READY |   RUNNING |
|              4623 |  3 |   RUNNING |     READY |
|              4624 |  2 |     READY |   RUNNING |
|              4723 |  2 |   RUNNING |     READY |
|              4724 |  5 |     READY |   RUNNING |
|              4823 |  5 |   RUNNING |     READY |
|              4824 |  1 |     READY |   RUNNING |
|              4923 |  1 |   RUNNING |     READY |
|              4924 |  3 |     READY |   RUNNING |
|              5023 |  3 |   RUNNING |     READY |
|              5024 |  2 |     READY |   RUNNING |
|              5123 |  2 |   RUNNING |     READY |
|              5124 |  5 |     READY |   RUNNING |
|              5223 |  5 |   RUNNING |     READY |
|              5224 |  1 |     READY |   RUNNING |
|              5323 |  1 |   RUNNING |     READY |
|              5324 |  3 |     READY |   RUNNING |
|              5423 |  3 |   RUNNING |     READY |
|              5424 |  2 |     READY |   RUNNING |
|              5523 |  2 |   RUNNING |     READY |
|              5524 |  5 |     READY |   RUNNING |
|              5623 |  5 |   RUNNING |     READY |
